,houseName,roomType,area,toward,floor,year,address,price,unitPrice,region
21,盈彩美居 ,2室2厅,74平米,北,高楼层(共12层),2003年建塔楼,东圃,310,单价41892元/平米,天河
22,六运小区 ,2室2厅,74.65平米,东南,中楼层(共8层),1993年建塔楼,天河南,380,单价50905元/平米,天河
23,天河东远洋宿舍天河东路 ,3室2厅,106平米,北,高楼层(共18层),1990年建塔楼,体育中心,689,单价65000元/平米,天河
24,南雅苑体育东路 ,3室1厅,81.66平米,南 北,中楼层(共8层),1992年建塔楼,天河南,510,单价62455元/平米,天河
25,嘉宝华庭 ,3室2厅,109.52平米,东 西,高楼层(共28层),2008年建塔楼,龙口西,700,单价63916元/平米,天河
26,芳草园 ,3室2厅,117.05平米,北,高楼层(共30层),2004年建塔楼,天河北,840,单价71765元/平米,天河
27,旭景家园D区 ,3室2厅,91平米,南,低楼层(共15层),2002年建塔楼,东圃,355,单价39011元/平米,天河
28,华江花园 ,3室2厅,128.49平米,南,高楼层(共9层),1999年建塔楼,天河公园,590,单价45918元/平米,天河
29,美林海岸花园 ,4室2厅,80.33平米,北,高楼层(共18层),2003年建塔楼,员村,750,单价93365元/平米,天河
30,华景新城翠安侬苑 ,4室2厅,133.46平米,北,高楼层(共32层),2002年建塔楼,华景新城,730,单价54699元/平米,天河
31,瘦狗岭路 ,2室1厅,44.32平米,南,中楼层(共9层),1999年建塔楼,粤垦,110,单价24820元/平米,天河
32,华景新城陶然庭园 ,3室2厅,92.18平米,南,低楼层(共35层),2007年建塔楼,华景新城,580,单价62921元/平米,天河
33,金田花苑 ,3室2厅,126.63平米,北,高楼层(共10层),1997年建塔楼,天河北,580,单价45803元/平米,天河
34,金田花苑 ,3室2厅,120平米,北,中楼层(共19层),1997年建塔楼,天河北,680,单价56667元/平米,天河
35,骏汇大厦 ,2室2厅,88.7平米,西北,高楼层(共26层),1997年建塔楼,天河南,530,单价59752元/平米,天河
36,骏景花园 ,4室2厅,135.5平米,南,中楼层(共12层),2000年建塔楼,棠下,720,单价53137元/平米,天河
37,骏景花园 ,3室2厅,103平米,南,中楼层(共13层),2000年建塔楼,棠下,545,单价52913元/平米,天河
38,骏景花园 ,4室2厅,163平米,南,中楼层(共19层),2003年建塔楼,棠下,780,单价47853元/平米,天河
39,银汇华庭银汇大厦 ,2室2厅,86.11平米,南,中楼层(共32层),2009年建塔楼,天润路,580,单价67356元/平米,天河
40,橡树园 ,3室2厅,90.81平米,东南,高楼层(共9层),2006年建塔楼,沙太南,360,单价39644元/平米,天河
41,翠拥华庭锋尚 ,1室0厅,45平米,西,低楼层(共27层),2008年建塔楼,车陂,200,单价44445元/平米,天河
42,天力居 ,3室2厅,64平米,南,高楼层(共12层),1998年建塔楼,东圃,268,单价41875元/平米,天河
43,天河东远洋宿舍信成南街 ,2室1厅,70平米,西南,高楼层(共8层),1990年建塔楼,体育中心,460,单价65715元/平米,天河
44,历德雅舍 ,4室2厅,127.47平米,南,中楼层(共16层),2005年建塔楼,华景新城,900,单价70605元/平米,天河
45,东晖花园 ,4室2厅,164.66平米,东南,高楼层(共10层),1999年建塔楼,天河公园,1100,单价66805元/平米,天河
46,骏景花园 ,4室2厅,109平米,南,低楼层(共12层),2000年建塔楼,棠下,550,单价50459元/平米,天河
47,中怡城市花园 ,3室2厅,129.51平米,南,高楼层(共33层),2004年建塔楼,天河北,1050,单价81075元/平米,天河
48,跑马地花园 ,3室2厅,104.5平米,东,高楼层(共14层),1999年建塔楼,珠江新城东,611,单价58469元/平米,天河
49,赛拉维 ,3室2厅,113.25平米,东 西,高楼层(共19层),2002年建塔楼,员村,570,单价50332元/平米,天河
50,金燕花园 ,3室2厅,82平米,南,低楼层(共16层),2004年建塔楼,粤垦,338,单价41220元/平米,天河
51,东方新世界 ,2室2厅,90.75平米,东,中楼层(共28层),2007年建塔楼,天河公园,680,单价74932元/平米,天河
52,天成大厦 ,2室1厅,68平米,西北,中楼层(共32层),2002年建塔楼,龙口西,368,单价54118元/平米,天河
53,金晖花园 ,3室1厅,89.63平米,南,高楼层(共9层),1998年建塔楼,粤垦,370,单价41281元/平米,天河
54,华景新城翠安侬苑 ,3室2厅,114平米,南,高楼层(共32层),2002年建塔楼,华景新城,750,单价65790元/平米,天河
55,半山雍景苑 ,3室2厅,85.36平米,东北,中楼层(共16层),2000年建塔楼,五山,430,单价50375元/平米,天河
56,华天国际广场 ,2室1厅,77.1平米,西,中楼层(共30层),2001年建塔楼,龙口东,438,单价56810元/平米,天河
57,加拿大花园 ,2室2厅,78平米,东,中楼层(共28层),1995年建塔楼,华景新城,351,单价45000元/平米,天河
58,理想蓝堡国际花园 ,1室2厅,81.92平米,西南,高楼层(共29层),2004年建塔楼,天河公园,550,单价67139元/平米,天河
59,骏景花园 ,3室2厅,80.65平米,北,中楼层(共12层),2000年建塔楼,棠下,400,单价49598元/平米,天河
60,五星阁 ,2室2厅,91.03平米,东北,中楼层(共26层),2000年建塔楼,粤垦,315,单价34604元/平米,天河
61,中海康城 ,2室2厅,84.15平米,西南,中楼层(共20层),2002年建塔楼,黄村,335,单价39810元/平米,天河
62,赛拉维 ,3室2厅,107.57平米,西南,低楼层(共30层),2006年建塔楼,员村,556,单价51688元/平米,天河
63,华景新城信华花园 ,3室2厅,90.48平米,西北,中楼层(共29层),2012年建塔楼,华景新城,540,单价59682元/平米,天河
64,阳光假日园1 ,2室2厅,83.13平米,北,低楼层(共16层),2009年建塔楼,棠下,380,单价45712元/平米,天河
65,汇峰苑 ,3室2厅,136平米,北,高楼层(共48层),2008年建塔楼,珠江新城中,1300,单价95589元/平米,天河
66,华港花园 ,3室2厅,109.01平米,南 北,中楼层(共9层),2004年建塔楼,天河公园,620,单价56876元/平米,天河
67,六运小区 ,3室1厅,96.98平米,东,中楼层(共8层),1993年建塔楼,天河南,460,单价47433元/平米,天河
68,时尚明苑 ,3室2厅,86.21平米,北,高楼层(共11层),2006年建塔楼,车陂,410,单价47559元/平米,天河
69,新世界东逸花园 ,3室2厅,98平米,北,中楼层(共9层),1999年建塔楼,天河公园,588,单价60000元/平米,天河
70,美林湖畔花园 ,3室2厅,98平米,西北,高楼层(共24层),2006年建塔楼,东圃,480,单价48980元/平米,天河
71,骏景花园 ,4室2厅,153平米,北,高楼层(共13层),2003年建塔楼,棠下,685,单价44772元/平米,天河
72,骏景花园 ,3室1厅,142平米,南,低楼层(共20层),2003年建板楼,棠下,738,单价51972元/平米,天河
73,鸿燕居 ,2室1厅,51.33平米,东,低楼层(共6层),1998年建塔楼,粤垦,196,单价38185元/平米,天河
74,天河峰景大厦 ,3室2厅,103平米,东北,中楼层(共32层),2008年建塔楼,粤垦,490,单价47573元/平米,天河
75,金燕花园 ,3室2厅,101.95平米,西南,中楼层(共22层),2004年建塔楼,粤垦,450,单价44140元/平米,天河
76,嘉裕君玥公馆 ,3室2厅,147.67平米,西北,中楼层(共30层),2009年建塔楼,珠江新城西,1300,单价88035元/平米,天河
77,银汇华庭银汇大厦 ,2室1厅,59平米,北,高楼层(共32层),2009年建塔楼,天润路,388,单价65763元/平米,天河
78,恒业大厦 ,2室1厅,66平米,东,中楼层(共20层),2006年建塔楼,员村,380,单价57576元/平米,天河
79,税务局宿舍 ,3室2厅,107.77平米,南,中楼层(共9层),2000年建塔楼,五山,540,单价50107元/平米,天河
80,华苑大厦 ,3室2厅,100.47平米,东北,中楼层(共30层),1998年建塔楼,体育中心,500,单价49767元/平米,天河
81,名雅苑 ,3室2厅,134平米,西南,高楼层(共18层),1994年建塔楼,体育中心,850,单价63433元/平米,天河
82,隽峰苑 ,3室2厅,137平米,南,中楼层(共32层),2008年建塔楼,珠江新城中,1200,单价87592元/平米,天河
83,豪景花园 ,3室1厅,98平米,北,中楼层(共19层),2009年建塔楼,粤垦,420,单价42858元/平米,天河
84,海景中心 ,2室1厅,69.97平米,南,高楼层(共27层),1998年建塔楼,员村,360,单价51451元/平米,天河
85,观山苑 ,1室1厅,55平米,南,中楼层(共15层),2010年建塔楼,粤垦,300,单价54546元/平米,天河
86,观山苑 ,1室1厅,41.4平米,北,中楼层(共11层),2010年建塔楼,粤垦,230,单价55556元/平米,天河
87,帝景苑 ,3室2厅,124.31平米,东北,中楼层(共32层),2000年建塔楼,龙口西,806,单价64838元/平米,天河
88,中兴花园 ,3室2厅,77.87平米,北,低楼层(共12层),1999年建塔楼,东圃,298,单价38269元/平米,天河
89,华景新城逸悦居 ,4室2厅,179.6平米,南,中楼层(共31层),2000年建塔楼,华景新城,950,单价52896元/平米,天河
90,东璟花园 ,2室1厅,80.98平米,北,中楼层(共25层),2004年建塔楼,员村,460,单价56805元/平米,天河
91,金燕花园 ,2室1厅,64.19平米,东南,低楼层(共9层),1999年建塔楼,粤垦,275,单价42842元/平米,天河
92,橡树园 ,1室1厅,42.69平米,西南,低楼层(共13层),2004年建塔楼,沙太南,198,单价46381元/平米,天河
93,六运小区 ,2室2厅,79.11平米,南,高楼层(共8层),1992年建塔楼,天河南,400,单价50563元/平米,天河
94,棠德花园 ,2室2厅,64平米,南,高楼层(共29层),1997年建塔楼,棠下,251,单价39219元/平米,天河
95,华景新城信华花园 ,3室2厅,90.93平米,东北,低楼层(共28层),2012年建塔楼,华景新城,530,单价58287元/平米,天河
96,棠德花园 ,2室1厅,55平米,东南,中楼层(共10层),1997年建塔楼,棠下,202,单价36728元/平米,天河
97,华景新城逸馨居 ,3室2厅,93平米,东,高楼层(共31层),2000年建塔楼,华景新城,480,单价51613元/平米,天河
98,金燕花园 ,2室2厅,71.8平米,南,中楼层(共9层),1995年建塔楼,粤垦,262,单价36491元/平米,天河
99,东方新世界 ,2室1厅,70.6平米,北,高楼层(共23层),2011年建塔楼,天河公园,515,单价72947元/平米,天河
100,骏景花园 ,3室2厅,92.84平米,南,低楼层(共13层),2000年建塔楼,棠下,540,单价58165元/平米,天河
101,天誉花园 ,3室2厅,139平米,北,高楼层(共31层),1998年建塔楼,天河北,850,单价61152元/平米,天河
102,华景新城陶然庭园 ,3室2厅,92.84平米,东南,低楼层(共36层),2006年建塔楼,华景新城,530,单价57088元/平米,天河
103,侨景大厦 ,3室2厅,100平米,东,低楼层(共18层),1996年建塔楼,体育中心,700,单价70000元/平米,天河
104,中海璟晖华庭 ,3室2厅,118.28平米,北,中楼层(共32层),2007年建塔楼,珠江新城中,1100,单价93000元/平米,天河
105,骏景花园 ,4室2厅,122平米,北,高楼层(共12层),2000年建塔楼,棠下,580,单价47541元/平米,天河
106,半山雍景苑 ,3室2厅,97.94平米,东南,低楼层(共16层),2000年建塔楼,五山,445,单价45436元/平米,天河
107,阳光假日园1 ,2室2厅,78.29平米,西,中楼层(共16层),2009年建塔楼,棠下,376,单价48027元/平米,天河
108,星汇云锦 ,1室2厅,87平米,西北,低楼层(共45层),2010年建塔楼,珠江新城西,640,单价73564元/平米,天河
109,金燕花园 ,3室1厅,83.48平米,东南,低楼层(共26层),2004年建塔楼,粤垦,350,单价41927元/平米,天河
110,帝景苑 ,3室2厅,121.19平米,东北,低楼层(共32层),2000年建塔楼,龙口西,735,单价60649元/平米,天河
111,协和新世界 ,2室2厅,77平米,南,中楼层(共33层),2003年建塔楼,天河北,550,单价71429元/平米,天河
112,加拿大花园 ,2室2厅,82.41平米,南,中楼层(共25层),1995年建塔楼,华景新城,370,单价44898元/平米,天河
113,马赛国际公寓 ,2室1厅,76平米,西南,高楼层(共33层),2006年建塔楼,珠江新城东,380,单价50000元/平米,天河
114,侨怡苑 ,2室1厅,81.04平米,东北,中楼层(共9层),1992年建塔楼,体育中心,565,单价69719元/平米,天河
115,棠德花园 ,2室2厅,60.37平米,东,高楼层(共9层),1997年建塔楼,棠下,190,单价31473元/平米,天河
116,金湖雅苑 ,3室2厅,89.85平米,南 北,高楼层(共9层),1999年建塔楼,沙太北,250,单价27825元/平米,天河
117,橡树园 ,2室2厅,78.63平米,东南,低楼层(共16层),2008年建塔楼,沙太南,350,单价44513元/平米,天河
118,华景新城泽晖苑 ,3室2厅,118平米,西南,低楼层(共10层),1999年建塔楼,华景新城,640,单价54238元/平米,天河
119,金海花园 ,2室2厅,72平米,北,中楼层(共10层),2002年建塔楼,龙口西,469,单价65139元/平米,天河
120,金海花园 ,2室2厅,72平米,北,中楼层(共10层),2002年建塔楼,龙口西,469,单价65139元/平米,天河
121,瑞心苑 ,2室2厅,77平米,东南,低楼层(共11层),2000年建塔楼,粤垦,340,单价44156元/平米,天河
122,广利路 ,2室1厅,81平米,南,中楼层(共9层),塔楼,天河南,400,单价49383元/平米,天河
123,华景新城泽晖苑 ,3室2厅,118平米,西南,低楼层(共10层),1999年建塔楼,华景新城,640,单价54238元/平米,天河
124,伍仙花园B区 ,3室1厅,84.64平米,东南,低楼层(共11层),2002年建塔楼,沙太南,340,单价40171元/平米,天河
125,隽园 ,3室2厅,77.57平米,东北,高楼层(共31层),2007年建塔楼,天河公园,550,单价70904元/平米,天河
126,华景新城陶然庭园 ,3室2厅,108.73平米,南 北,高楼层(共36层),2006年建塔楼,华景新城,690,单价63460元/平米,天河
127,侨乐新村嘉德利湾 ,2室1厅,74.34平米,东,低楼层(共11层),2004年建塔楼,沙太南,370,单价49772元/平米,天河
128,跑马地花园 ,2室2厅,86.2平米,北,中楼层(共32层),1999年建塔楼,珠江新城东,480,单价55685元/平米,天河
129,东方都会广场 ,4室1厅,54.34平米,南,低楼层(共23层),2004年建塔楼,天河公园,480,单价88333元/平米,天河
130,新世界东逸花园 ,3室2厅,113.94平米,西北,低楼层(共28层),2003年建塔楼,天河公园,738,单价64771元/平米,天河
131,富力天朗明居S区 ,2室2厅,71.34平米,西,中楼层(共18层),2001年建塔楼,棠下,330,单价46258元/平米,天河
132,华景公安宿舍 ,2室2厅,81.43平米,南 北,高楼层(共9层),1998年建塔楼,华景新城,400,单价49122元/平米,天河
133,华建小区 ,4室2厅,123.41平米,西北,低楼层(共17层),2001年建塔楼,天河公园,680,单价55101元/平米,天河
134,翠湖山庄 ,2室1厅,84.47平米,东南,中楼层(共17层),1999年建塔楼,天河公园,395,单价46763元/平米,天河
135,骏景花园 ,3室2厅,105平米,北,中楼层(共20层),2003年建塔楼,棠下,525,单价50000元/平米,天河
136,华师大学宿舍北区 ,2室2厅,63平米,南,低楼层(共6层),2000年建板楼,五山,435,单价69048元/平米,天河
137,天河广场 ,3室2厅,111.93平米,东南,低楼层(共32层),1996年建塔楼,东圃,400,单价35737元/平米,天河
138,华景新城怡翠居 ,3室1厅,86平米,西北,中楼层(共9层),1996年建塔楼,华景新城,390,单价45349元/平米,天河
139,六运小区 ,2室2厅,69.78平米,南,中楼层(共8层),1990年建塔楼,天河南,352,单价50445元/平米,天河
140,尚东宏御 ,3室2厅,103平米,北,高楼层(共30层),2008年建塔楼,珠江新城东,880,单价85437元/平米,天河
141,农工商学院 ,2室2厅,76.36平米,南 北,高楼层(共8层),1996年建塔楼,东莞庄,290,单价37978元/平米,天河
142,汇景新城上城勋堡 ,3室2厅,161.41平米,南 北,低楼层(共26层),2007年建塔楼,五山,1100,单价68150元/平米,天河
143,加拿大花园 ,3室2厅,98.78平米,西北,中楼层(共25层),1995年建塔楼,华景新城,410,单价41507元/平米,天河
144,珠江俊园 ,3室2厅,124平米,东,低楼层(共28层),2007年建塔楼,华景新城,790,单价63710元/平米,天河
145,加拿大花园 ,3室2厅,85.83平米,东北,中楼层(共25层),1995年建塔楼,华景新城,385,单价44857元/平米,天河
146,华景新城信华花园 ,3室2厅,108.17平米,东北,高楼层(共28层),2012年建塔楼,华景新城,650,单价60091元/平米,天河
147,金燕花园 ,3室2厅,91平米,西北,高楼层(共9层),1996年建塔楼,粤垦,300,单价32968元/平米,天河
148,华景新城怡翠居 ,3室2厅,123平米,东 西,低楼层(共9层),1996年建塔楼,华景新城,516,单价41952元/平米,天河
149,天河北苑 ,4室2厅,111.73平米,南 北,中楼层(共9层),1998年建塔楼,沙太南,335,单价29983元/平米,天河
150,天雅居 ,3室2厅,105.5平米,南,中楼层(共13层),1999年建塔楼,东圃,366,单价34692元/平米,天河
151,汇景新城棕榈园 ,4室2厅,239.18平米,南 北,高楼层(共26层),2006年建塔楼,五山,1600,单价66896元/平米,天河
152,春晖苑 ,3室2厅,96平米,西,高楼层(共9层),1997年建塔楼,东莞庄,368,单价38334元/平米,天河
153,金鼎大厦 ,3室2厅,135平米,东北,高楼层(共30层),1998年建塔楼,天润路,620,单价45926元/平米,天河
154,鸿翔大厦 ,3室2厅,121.95平米,西南,高楼层(共29层),2002年建塔楼,天河北,710,单价58221元/平米,天河
155,侨乐新村嘉德利湾 ,3室1厅,104.45平米,东南,中楼层(共11层),2004年建塔楼,沙太南,450,单价43083元/平米,天河
156,MBA国际公寓 ,1室1厅,64平米,北,低楼层(共29层),2007年建塔楼,石牌,258,单价40313元/平米,天河
157,雅怡阁 ,3室2厅,96平米,东,中楼层(共7层),2000年建塔楼,东圃,290,单价30209元/平米,天河
158,帝景苑 ,4室2厅,171.77平米,南,中楼层(共32层),2000年建塔楼,龙口西,1050,单价61129元/平米,天河
159,天誉花园 ,1室1厅,60.58平米,南,高楼层(共30层),2000年建塔楼,天河北,395,单价65204元/平米,天河
160,华景新城陶然庭园 ,4室2厅,135.44平米,南 北,中楼层(共35层),2007年建塔楼,华景新城,838,单价61873元/平米,天河
161,翠拥华庭锋尚 ,1室0厅,45平米,西,中楼层(共27层),2008年建塔楼,车陂,225,单价50000元/平米,天河
162,天逸名都 ,2室2厅,66.64平米,北,高楼层(共31层),2002年建塔楼,龙口西,460,单价69028元/平米,天河
163,半山雍景苑 ,3室2厅,94平米,南,低楼层(共16层),2000年建塔楼,五山,530,单价56383元/平米,天河
164,水荫一横路 ,3室1厅,68.48平米,南,中楼层(共8层),塔楼,水荫,220,单价32127元/平米,天河
165,华港花园 ,3室2厅,109平米,西南,中楼层(共28层),2004年建塔楼,天河公园,680,单价62386元/平米,天河
166,骏景花园 ,3室2厅,128.84平米,南,低楼层(共12层),2000年建塔楼,棠下,660,单价51227元/平米,天河
167,骏景花园 ,4室2厅,145平米,南,低楼层(共14层),2003年建塔楼,棠下,720,单价49656元/平米,天河
168,尚德大厦 ,2室2厅,85平米,东南,高楼层(共23层),2003年建塔楼,龙口东,460,单价54118元/平米,天河
169,省建材机械厂宿舍区 ,2室1厅,51平米,南,低楼层(共7层),塔楼,沙河,180,单价35295元/平米,天河
170,新世界东逸花园 ,3室2厅,125.35平米,西北,高楼层(共28层),2003年建塔楼,天河公园,830,单价66215元/平米,天河
171,美好居 ,3室2厅,110.42平米,东,高楼层(共19层),1998年建塔楼,车陂,470,单价42565元/平米,天河
172,富力天朗明居S区 ,3室2厅,90平米,南,高楼层(共18层),2001年建塔楼,棠下,500,单价55556元/平米,天河
173,骏景花园 ,4室2厅,160平米,南,低楼层(共29层),2000年建塔楼,棠下,1000,单价62500元/平米,天河
174,帝景苑 ,4室2厅,321平米,西南,高楼层(共32层),2000年建塔楼,龙口西,2100,单价65421元/平米,天河
175,宝供大厦 ,4室2厅,144.5平米,南,低楼层(共23层),2002年建塔楼,天润路,680,单价47059元/平米,天河
176,名雅苑 ,6室2厅,125.19平米,东南,高楼层(共24层),1994年建塔楼,体育中心,813.8,单价65001元/平米,天河
177,半山雍景苑 ,3室2厅,86平米,东北,低楼层(共16层),2000年建塔楼,五山,480,单价55814元/平米,天河
178,华港花园 ,4室2厅,120平米,西北,高楼层(共25层),2004年建塔楼,天河公园,777,单价64750元/平米,天河
179,西雅苑 ,4室2厅,201平米,北,高楼层(共28层),1998年建塔楼,体育中心,1250,单价62190元/平米,天河
180,西雅苑 ,4室2厅,201平米,北,高楼层(共28层),1998年建塔楼,体育中心,1250,单价62190元/平米,天河
181,东方都会广场 ,2室1厅,55平米,南,中楼层(共23层),2004年建塔楼,天河公园,450,单价81819元/平米,天河
182,协和新世界 ,7室2厅,305.89平米,南 北,高楼层(共33层),2008年建塔楼,天河北,2200,单价71922元/平米,天河
183,富丽花苑 ,2室2厅,88平米,北,高楼层(共8层),2000年建塔楼,天河南,440,单价50000元/平米,天河
184,天一新村 ,2室1厅,53.72平米,西,中楼层(共6层),2008年建塔楼,东莞庄,300,单价55846元/平米,天河
185,天河东路 ,2室2厅,71.77平米,东北,高楼层(共9层),1999年建塔楼,龙口西,362,单价50439元/平米,天河
186,翠拥华庭锋尚 ,2室2厅,64.42平米,西,中楼层(共21层),2008年建塔楼,车陂,314,单价48743元/平米,天河
187,岳洲路 ,3室2厅,83.21平米,西南,高楼层(共9层),塔楼,五山,445,单价53480元/平米,天河
188,骏景花园 ,4室2厅,110平米,西,低楼层(共12层),2000年建板楼,棠下,510,单价46364元/平米,天河
189,东方都会广场 ,1室2厅,39平米,北,中楼层(共23层),2004年建塔楼,天河公园,290,单价74359元/平米,天河
190,育蕾小区育蕾二街 ,3室1厅,88平米,东北,低楼层(共9层),1993年建塔楼,天河南,448.8,单价51000元/平米,天河
191,龙口东路龙口横街 ,3室2厅,67.8平米,南 北,低楼层(共9层),塔楼,龙口东,365,单价53835元/平米,天河
192,半山雍景苑 ,3室2厅,97.81平米,南,低楼层(共18层),2000年建塔楼,五山,630,单价64411元/平米,天河
193,华景新城泽晖苑 ,3室2厅,119.82平米,南,低楼层(共10层),1999年建塔楼,华景新城,650,单价54249元/平米,天河
194,华南理工大学宿舍紫荆苑 ,3室2厅,92.08平米,北,高楼层(共9层),2003年建塔楼,东莞庄,650,单价70591元/平米,天河
195,天河山庄桃园居 ,3室1厅,96.86平米,北,高楼层(共6层),1996年建塔楼,沙河,360,单价37168元/平米,天河
196,海景花园 ,3室2厅,151平米,北,中楼层(共29层),2003年建塔楼,天河公园,1000,单价66226元/平米,天河
197,华港花园 ,3室2厅,101平米,南 北,高楼层(共9层),2004年建塔楼,天河公园,618,单价61189元/平米,天河
198,天一新村 ,3室2厅,110.67平米,东,中楼层(共6层),2008年建塔楼,东莞庄,680,单价61444元/平米,天河
199,西雅苑体育西路 ,3室2厅,98.94平米,南 北,中楼层(共28层),1998年建塔楼,体育中心,730,单价73783元/平米,天河
200,马赛国际公寓 ,3室2厅,113平米,南,高楼层(共33层),2006年建塔楼,珠江新城东,850,单价75222元/平米,天河
201,华景新城芳满庭园 ,4室2厅,124.53平米,南,高楼层(共36层),2005年建塔楼,华景新城,735,单价59022元/平米,天河
202,华南理工大学宿舍凤凰新村 ,2室1厅,53平米,南,中楼层(共4层),2003年建板楼,五山,260,单价49057元/平米,天河
203,加拿大花园 ,1室2厅,51.6平米,南,高楼层(共25层),1995年建塔楼,华景新城,245,单价47481元/平米,天河
204,南雅苑体育东横街 ,2室1厅,67.47平米,南 北,中楼层(共8层),1992年建塔楼,天河南,355,单价52616元/平米,天河
205,银燕大厦 ,3室2厅,84平米,东北,低楼层(共24层),1998年建塔楼,粤垦,310,单价36905元/平米,天河
206,小城之春 ,3室2厅,130平米,南,低楼层(共18层),2005年建塔楼,华景新城,850,单价65385元/平米,天河
207,龙口中路 ,2室2厅,79平米,南,高楼层(共10层),1995年建塔楼,龙口西,448,单价56709元/平米,天河
208,骏景花园 ,3室2厅,136平米,南,低楼层(共13层),2003年建塔楼,棠下,720,单价52942元/平米,天河
209,燕岭大厦宿舍 ,3室2厅,68.28平米,南,高楼层(共8层),1998年建塔楼,粤垦,215,单价31488元/平米,天河
210,棠德花园 ,2室1厅,56.25平米,南,低楼层(共9层),2000年建塔楼,棠下,188,单价33423元/平米,天河
211,华景新城芳满庭园 ,2室2厅,71.38平米,北,中楼层(共36层),2005年建塔楼,华景新城,400,单价56039元/平米,天河
212,富信广场 ,2室1厅,78.55平米,南,低楼层(共30层),1994年建塔楼,沙河,298,单价37938元/平米,天河
213,馨怡花苑 ,3室2厅,112.06平米,南,高楼层(共9层),1996年建塔楼,天润路,460,单价41050元/平米,天河
214,橡树园 ,3室2厅,92.83平米,东南,高楼层(共17层),2004年建塔楼,沙太南,380,单价40936元/平米,天河
215,翠湖山庄 ,3室2厅,132.76平米,北,低楼层(共32层),1999年建塔楼,天河公园,600,单价45195元/平米,天河
216,民政局大院 ,2室1厅,52.33平米,南,中楼层(共8层),塔楼,沙河,178,单价34015元/平米,天河
217,天河峰景大厦 ,3室2厅,85.43平米,东,高楼层(共32层),2008年建塔楼,粤垦,400,单价46822元/平米,天河
218,天诚广场 ,5室2厅,214.32平米,东南,高楼层(共24层),1998年建塔楼,天河北,1250,单价58325元/平米,天河
219,半山雍景苑 ,3室2厅,85平米,东南,高楼层(共17层),2000年建塔楼,五山,430,单价50589元/平米,天河
220,东圃广场 ,2室1厅,88.78平米,北,低楼层(共19层),2002年建塔楼,东圃,350,单价39424元/平米,天河
221,加拿大花园 ,4室2厅,102.25平米,东,低楼层(共23层),1995年建塔楼,华景新城,370,单价36186元/平米,天河
222,朱美拉公寓 ,1室1厅,54.26平米,东,高楼层(共38层),2009年建塔楼,珠江新城中,430,单价79249元/平米,天河
223,东方之珠花园 ,3室2厅,143平米,东南,高楼层(共28层),2004年建塔楼,天河北,850,单价59441元/平米,天河
224,加拿大花园 ,2室1厅,61平米,东南,低楼层(共25层),1995年建塔楼,华景新城,300,单价49181元/平米,天河
