,area,street,community,introduction,room_type,acreage,price,unit_price,toward,decoration,elevator,floor,year,follow,visit,release_time,url
20,天河,天河南,六运小区 ,体育东 东南向大三房 准电梯,3室1厅,78.39平米,390,单价49752元/平米,东南,精装,无电梯,高楼层(共8层),板楼,14人关注,共13次带看,4个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003486371.html
21,天河,东圃,盈彩美居 ,盈彩美居 高层方正 保养新，免装修,2室2厅,74平米,310,单价41892元/平米,北,精装,有电梯,高楼层(共12层),2003年建塔楼,32人关注,共13次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004010415.html
22,天河,天河南,六运小区 ,六运小区 两房 采光好 准电梯楼,2室2厅,74.65平米,380,单价50905元/平米,东南,精装,无电梯,中楼层(共8层),1993年建塔楼,82人关注,共9次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003778764.html
23,天河,体育中心,天河东远洋宿舍天河东路 ,远洋宿舍 安静三房 出行方便 大型小区,3室2厅,106平米,689,单价65000元/平米,北,其他,有电梯,高楼层(共18层),1990年建塔楼,1人关注,共4次带看,4天以前发布,https://gz.lianjia.com/ershoufang/GZ0004339469.html
24,天河,天河南,南雅苑体育东路 ,体育东电梯三房 南雅苑 南北通透 楼层好,3室1厅,81.66平米,510,单价62455元/平米,南 北,其他,无电梯,中楼层(共8层),1992年建塔楼,3人关注,共3次带看,5天以前发布,https://gz.lianjia.com/ershoufang/GZ0004335655.html
25,天河,龙口西,嘉宝华庭 ,嘉宝华庭 精装修 格局方正,3室2厅,109.52平米,700,单价63916元/平米,东 西,简装,有电梯,高楼层(共28层),2008年建塔楼,18人关注,共10次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004043036.html
26,天河,天河北,芳草园 ,芳草园 精装三房 大型花园小区 安静,3室2厅,117.05平米,840,单价71765元/平米,北,简装,有电梯,高楼层(共30层),2004年建塔楼,85人关注,共1次带看,11个月以前发布,https://gz.lianjia.com/ershoufang/GZ0002839515.html
27,天河,东圃,旭景家园D区 ,旭景家园 高楼层 南向三房,3室2厅,91平米,355,单价39011元/平米,南,其他,有电梯,低楼层(共15层),2002年建塔楼,7人关注,共3次带看,18天以前发布,https://gz.lianjia.com/ershoufang/GZ0004225802.html
28,天河,天河公园,华江花园 ,华江花园 大三房可轻松改四房 带天台花园,3室2厅,128.49平米,590,单价45918元/平米,南,其他,有电梯,高楼层(共9层),1999年建塔楼,8人关注,共5次带看,14天以前发布,https://gz.lianjia.com/ershoufang/GZ0004246658.html
29,天河,员村,美林海岸花园 ,美林海岸 复式4房 安静望花园,4室2厅,80.33平米,750,单价93365元/平米,北,其他,有电梯,高楼层(共18层),2003年建塔楼,7人关注,共1次带看,14天以前发布,https://gz.lianjia.com/ershoufang/GZ0004251288.html
30,天河,华景新城,华景新城翠安侬苑 ,华景新城 翠安侬苑 格局方正 安静四房,4室2厅,133.46平米,730,单价54699元/平米,北,精装,有电梯,高楼层(共32层),2002年建塔楼,15人关注,共5次带看,3个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003525038.html
31,天河,粤垦,瘦狗岭路 ,瘦狗岭二房 实用采光好,2室1厅,44.32平米,110,单价24820元/平米,南,其他,无电梯,中楼层(共9层),1999年建塔楼,346人关注,共9次带看,4个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003485033.html
32,天河,天河北,金田花苑 ,金田花苑 3室2厅 580万,3室2厅,126.63平米,580,单价45803元/平米,北,简装,有电梯,高楼层(共10层),1997年建塔楼,76人关注,共0次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0002649411.html
33,天河,华景新城,华景新城陶然庭园 ,华景陶然庭园 南向三房 通透明亮 楼层好,3室2厅,92.18平米,580,单价62921元/平米,南,其他,有电梯,低楼层(共35层),2007年建塔楼,26人关注,共4次带看,5个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003378972.html
34,天河,天河北,金田花苑 ,金田花苑二期 精装3房 户型方正,3室2厅,120平米,680,单价56667元/平米,北,简装,有电梯,中楼层(共19层),1997年建塔楼,42人关注,共0次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0002890216.html
35,天河,天河南,骏汇大厦 ,骏汇大厦 舒适两房 装修新颖 可改三房,2室2厅,88.7平米,530,单价59752元/平米,西北,精装,有电梯,高楼层(共26层),1997年建塔楼,7人关注,共9次带看,5个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003325001.html
36,天河,棠下,骏景花园 ,骏景花园 南苑正规大三房 保养很好,3室2厅,103平米,545,单价52913元/平米,南,精装,有电梯,中楼层(共13层),2000年建塔楼,19人关注,共9次带看,8个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003949288.html
37,天河,棠下,骏景花园 ,骏景南向单位 居家舒适 温馨舒适,4室2厅,163平米,780,单价47853元/平米,南,精装,有电梯,中楼层(共19层),2003年建塔楼,14人关注,共7次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003969551.html
38,天河,棠下,骏景花园 ,骏景花园 北苑二期 南向正规四房,4室2厅,135.5平米,720,单价53137元/平米,南,其他,有电梯,中楼层(共12层),2000年建塔楼,42人关注,共4次带看,10个月以前发布,https://gz.lianjia.com/ershoufang/GZ0002922962.html
39,天河,天润路,银汇华庭银汇大厦 ,银汇华庭 厅出阳台 南户型方正 采光通风,2室2厅,86.11平米,580,单价67356元/平米,南,其他,有电梯,中楼层(共32层),2009年建塔楼,3人关注,共7次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004282306.html
40,天河,沙太南,橡树园 ,橡树园 高楼层 东南向三房,3室2厅,90.81平米,360,单价39644元/平米,东南,简装,有电梯,高楼层(共9层),2006年建塔楼,20人关注,共4次带看,3个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003569403.html
41,天河,车陂,翠拥华庭锋尚 ,翠拥华庭锋尚 送家私家电 中层精装一房,1室0厅,45平米,200,单价44445元/平米,西,简装,有电梯,低楼层(共27层),2008年建塔楼,30人关注,共9次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003826058.html
42,天河,东圃,天力居 ,天力居 南向高层 温馨采光,3室2厅,64平米,268,单价41875元/平米,南,简装,有电梯,高楼层(共12层),1998年建塔楼,17人关注,共9次带看,16天以前发布,https://gz.lianjia.com/ershoufang/GZ0004237779.html
43,天河,体育中心,天河东远洋宿舍信成南街 ,远洋宿舍 安静两房 出行方便 大型小区,2室1厅,70平米,460,单价65715元/平米,西南,其他,有电梯,高楼层(共8层),1990年建塔楼,1人关注,共7次带看,21天以前发布,https://gz.lianjia.com/ershoufang/GZ0004209948.html
44,天河,华景新城,历德雅舍 ,历德雅舍 南向复式四居室 视野好诚心出售,4室2厅,127.47平米,900,单价70605元/平米,南,简装,有电梯,中楼层(共16层),2005年建塔楼,3人关注,共0次带看,11天以前发布,https://gz.lianjia.com/ershoufang/GZ0004291586.html
45,天河,天河公园,东晖花园 ,东晖花园 南向四房精装修,4室2厅,164.66平米,1100,单价66805元/平米,东南,精装,有电梯,高楼层(共10层),1999年建塔楼,2人关注,共0次带看,10天以前发布,https://gz.lianjia.com/ershoufang/GZ0004313585.html
46,天河,棠下,骏景花园 ,骏景花园正规4房， 位置安静,4室2厅,109平米,550,单价50459元/平米,南,简装,有电梯,低楼层(共12层),2000年建塔楼,21人关注,共5次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003948339.html
47,天河,天河北,中怡城市花园 ,中怡城市花园 南向大三房 居住舒适,3室2厅,129.51平米,1050,单价81075元/平米,南,简装,有电梯,高楼层(共33层),2004年建塔楼,17人关注,共26次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003954528.html
48,天河,天河公园,东方新世界 ,东方新世界 温馨大两房 东向,2室2厅,90.75平米,680,单价74932元/平米,东,其他,有电梯,中楼层(共28层),2007年建塔楼,9人关注,共7次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004080481.html
49,天河,珠江新城东,跑马地花园 ,跑马地花园 高层三房 户型方正,3室2厅,104.5平米,611,单价58469元/平米,东,精装,有电梯,高楼层(共14层),1999年建塔楼,23人关注,共8次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004088339.html
50,天河,粤垦,金燕花园 ,金燕花园 精装三房 户型方正,3室2厅,82平米,338,单价41220元/平米,南,其他,有电梯,低楼层(共16层),2004年建塔楼,41人关注,共2次带看,4个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003380275.html
51,天河,员村,赛拉维 ,赛拉维 精装三房 户型方正 安静,3室2厅,113.25平米,570,单价50332元/平米,东 西,其他,有电梯,高楼层(共19层),2002年建塔楼,50人关注,共1次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0002440618.html
52,天河,龙口西,天成大厦 ,天成大厦 温馨两房 高层景观好 证满五年,2室1厅,68平米,368,单价54118元/平米,西北,简装,有电梯,中楼层(共32层),2002年建塔楼,6人关注,共3次带看,29天以前发布,https://gz.lianjia.com/ershoufang/GZ0004145525.html
53,天河,粤垦,金晖花园 ,粤垦路 金晖花园 电梯三房 环境安静,3室1厅,89.63平米,370,单价41281元/平米,南,简装,无电梯,高楼层(共9层),1998年建塔楼,4人关注,共1次带看,28天以前发布,https://gz.lianjia.com/ershoufang/GZ0004152903.html
54,天河,华景新城,华景新城翠安侬苑 ,华景新城 翠安侬苑 南向三房 高层无遮挡,3室2厅,114平米,750,单价65790元/平米,南,简装,有电梯,高楼层(共32层),2002年建塔楼,8人关注,共1次带看,26天以前发布,https://gz.lianjia.com/ershoufang/GZ0004175252.html
55,天河,五山,半山雍景苑 ,半山雍景苑 电梯两房+衣帽间 安静舒适,3室2厅,85.36平米,430,单价50375元/平米,东北,简装,有电梯,中楼层(共16层),2000年建塔楼,7人关注,共3次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004171277.html
56,天河,龙口东,华天国际广场 ,华天国际 实用2房 格局方正,2室1厅,77.1平米,438,单价56810元/平米,西,其他,有电梯,中楼层(共30层),2001年建塔楼,16人关注,共5次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0003246810.html
57,天河,天河公园,理想蓝堡国际花园 ,西南向一房 户型方正 采光好,1室2厅,81.92平米,550,单价67139元/平米,西南,精装,有电梯,高楼层(共29层),2004年建塔楼,6人关注,共4次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004117019.html
58,天河,华景新城,加拿大花园 ,加拿大花园 交通便利，安静2房,2室2厅,78平米,351,单价45000元/平米,东,其他,有电梯,中楼层(共28层),1995年建塔楼,21人关注,共3次带看,7个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003289862.html
59,天河,棠下,骏景花园 ,骏景花园北苑 温馨三房 视野开阔,3室2厅,80.65平米,400,单价49598元/平米,北,简装,有电梯,中楼层(共12层),2000年建塔楼,71人关注,共15次带看,7个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003166629.html
60,天河,粤垦,五星阁 ,天河区 粤垦路 五星阁 精装电梯两房,2室2厅,91.03平米,315,单价34604元/平米,东北,精装,有电梯,中楼层(共26层),2000年建塔楼,16人关注,共6次带看,10个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003883606.html
61,天河,黄村,中海康城 ,中海康城高层大两房 户型正 视野开阔,2室2厅,84.15平米,335,单价39810元/平米,西南,简装,有电梯,中楼层(共20层),2002年建塔楼,31人关注,共8次带看,7个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003885474.html
62,天河,员村,赛拉维 ,赛拉维 温馨三房  交通便利,3室2厅,107.57平米,556,单价51688元/平米,西南,简装,有电梯,低楼层(共30层),2006年建塔楼,16人关注,共4次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003739383.html
63,天河,华景新城,华景新城信华花园 ,华景新城 安静三房 温馨采光,3室2厅,90.48平米,540,单价59682元/平米,西北,其他,有电梯,中楼层(共29层),2012年建塔楼,40人关注,共9次带看,5个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003324616.html
64,天河,棠下,阳光假日园1 ,阳光假日园 正规两房 看房方便,2室2厅,83.13平米,380,单价45712元/平米,北,精装,有电梯,低楼层(共16层),2009年建塔楼,35人关注,共6次带看,6个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003241645.html
65,天河,珠江新城中,汇峰苑 ,汇峰苑 高层三房 花园小区,3室2厅,136平米,1300,单价95589元/平米,北,简装,有电梯,高楼层(共48层),2008年建塔楼,5人关注,共3次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0003218931.html
66,天河,天河公园,华港花园 ,华港花园 安静3房 南北对流,3室2厅,109.01平米,620,单价56876元/平米,南 北,简装,无电梯,中楼层(共9层),2004年建塔楼,36人关注,共0次带看,10个月以前发布,https://gz.lianjia.com/ershoufang/GZ0002868570.html
67,天河,天河南,六运小区 ,六运小区 实用舒适3房 配套完善,3室1厅,96.98平米,460,单价47433元/平米,东,简装,无电梯,中楼层(共8层),1993年建塔楼,20人关注,共8次带看,9个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003239978.html
68,天河,车陂,时尚明苑 ,时尚名苑 交通便利 户型方正三房,3室2厅,86.21平米,410,单价47559元/平米,北,精装,有电梯,高楼层(共11层),2006年建塔楼,100人关注,共0次带看,8个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003095737.html
69,天河,天河公园,新世界东逸花园 ,新世界东逸花园 方正3房 实用率92%,3室2厅,98平米,588,单价60000元/平米,北,简装,无电梯,中楼层(共9层),1999年建塔楼,163人关注,共0次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0002604492.html
70,天河,东圃,美林湖畔花园 ,美林湖畔花园 温馨三房,3室2厅,98平米,480,单价48980元/平米,西北,其他,有电梯,高楼层(共24层),2006年建塔楼,29人关注,共5次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003995907.html
71,天河,棠下,骏景花园 ,骏景花园 户型实用，温馨舒适,3室1厅,142平米,738,单价51972元/平米,南,简装,有电梯,低楼层(共20层),2003年建板楼,6人关注,共5次带看,6个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003999775.html
72,天河,棠下,骏景花园 ,骏景花园 保养好,4室2厅,153平米,685,单价44772元/平米,北,简装,有电梯,高楼层(共13层),2003年建塔楼,12人关注,共1次带看,4个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003468944.html
73,天河,粤垦,鸿燕居 ,鸿燕居 精装二房,2室1厅,51.33平米,196,单价38185元/平米,东,简装,无电梯,低楼层(共6层),1998年建塔楼,66人关注,共3次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003734626.html
74,天河,粤垦,天河峰景大厦 ,天河峰景 精装电梯三房 采光好,3室2厅,103平米,490,单价47573元/平米,东北,简装,有电梯,中楼层(共32层),2008年建塔楼,1人关注,共0次带看,29天以前发布,https://gz.lianjia.com/ershoufang/GZ0004143997.html
75,天河,粤垦,金燕花园 ,金燕花园 电梯三房 精装修,3室2厅,101.95平米,450,单价44140元/平米,西南,其他,有电梯,中楼层(共22层),2004年建塔楼,6人关注,共0次带看,20天以前发布,https://gz.lianjia.com/ershoufang/GZ0004202757.html
76,天河,珠江新城西,嘉裕君玥公馆 ,嘉裕君玥公馆 三房可改四房 园林小区,3室2厅,147.67平米,1300,单价88035元/平米,西北,精装,有电梯,中楼层(共30层),2009年建塔楼,11人关注,共2次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003999611.html
77,天河,天润路,银汇华庭银汇大厦 ,银汇华庭，通风采光好，格局方正，交通方便,2室1厅,59平米,388,单价65763元/平米,北,其他,有电梯,高楼层(共32层),2009年建塔楼,27人关注,共2次带看,9个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003046093.html
78,天河,员村,恒业大厦 ,恒业大厦 新楼龄电梯小两房 温馨实用,2室1厅,66平米,380,单价57576元/平米,东,精装,有电梯,中楼层(共20层),2006年建塔楼,11人关注,共5次带看,3个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003628175.html
79,天河,五山,税务局宿舍 ,茶山路 税务局宿舍 温馨3房 户型方正,3室2厅,107.77平米,540,单价50107元/平米,南,其他,-,中楼层(共9层),2000年建塔楼,10人关注,共0次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003777400.html
80,天河,体育中心,华苑大厦 ,华苑大厦 精致三房 安静小区 实用房改房,3室2厅,100.47平米,500,单价49767元/平米,东北,其他,-,中楼层(共30层),1998年建塔楼,0人关注,共7次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003931508.html
81,天河,体育中心,名雅苑 ,名雅苑 南区 电梯南向三房带主套,3室2厅,134平米,850,单价63433元/平米,西南,其他,有电梯,高楼层(共18层),1994年建塔楼,6人关注,共4次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004041982.html
82,天河,珠江新城中,隽峰苑 ,隽峰苑 南北通透三房 新装修,3室2厅,137平米,1200,单价87592元/平米,南,简装,有电梯,中楼层(共32层),2008年建塔楼,15人关注,共3次带看,11个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003914989.html
83,天河,粤垦,豪景花园 ,花园小区电梯大三房 采光通风好,3室1厅,98平米,420,单价42858元/平米,北,精装,有电梯,中楼层(共19层),2009年建塔楼,3人关注,共2次带看,20天以前发布,https://gz.lianjia.com/ershoufang/GZ0004231246.html
84,天河,员村,海景中心 ,海景  精装修两房 南向采,2室1厅,69.97平米,360,单价51451元/平米,南,简装,有电梯,高楼层(共27层),1998年建塔楼,5人关注,共4次带看,19天以前发布,https://gz.lianjia.com/ershoufang/GZ0004215353.html
85,天河,粤垦,观山苑 ,粤垦路 观山苑 装修好 采光好,1室1厅,55平米,300,单价54546元/平米,南,其他,有电梯,中楼层(共15层),2010年建塔楼,10人关注,共3次带看,29天以前发布,https://gz.lianjia.com/ershoufang/GZ0004163581.html
86,天河,粤垦,观山苑 ,粤垦路 观山苑 装修好 采光好,1室1厅,41.4平米,230,单价55556元/平米,北,其他,有电梯,中楼层(共11层),2010年建塔楼,10人关注,共3次带看,29天以前发布,https://gz.lianjia.com/ershoufang/GZ0004153682.html
87,天河,龙口西,帝景苑 ,帝景苑大四房 户型好 安静小区,3室2厅,124.31平米,806,单价64838元/平米,东北,简装,有电梯,中楼层(共32层),2000年建塔楼,1人关注,共1次带看,10天以前发布,https://gz.lianjia.com/ershoufang/GZ0004297861.html
88,天河,东圃,中兴花园 ,中兴花园，配套成熟，交通便利,3室2厅,77.87平米,298,单价38269元/平米,北,精装,有电梯,低楼层(共12层),1999年建塔楼,8人关注,共1次带看,13天以前发布,https://gz.lianjia.com/ershoufang/GZ0004254834.html
89,天河,华景新城,华景新城逸悦居 ,华景新城六期 南向大四房 视野开阔,4室2厅,179.6平米,950,单价52896元/平米,南,其他,有电梯,中楼层(共31层),2000年建塔楼,1人关注,共0次带看,8天以前发布,https://gz.lianjia.com/ershoufang/GZ0004302017.html
90,天河,员村,东璟花园 ,东璟花园方正两房  天河公园 金融城,2室1厅,80.98平米,460,单价56805元/平米,北,精装,有电梯,中楼层(共25层),2004年建塔楼,14人关注,共0次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0003213707.html
91,天河,沙太南,橡树园 ,橡树园复式一房 格局方正 景观好,1室1厅,42.69平米,198,单价46381元/平米,西南,其他,有电梯,低楼层(共13层),2004年建塔楼,119人关注,共3次带看,一年前发布,https://gz.lianjia.com/ershoufang/GZ0002727138.html
92,天河,天河南,六运小区 ,六运小区 准电梯南向东向大两房 可改三房,2室2厅,79.11平米,400,单价50563元/平米,南,其他,-,高楼层(共8层),1992年建塔楼,15人关注,共7次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003970889.html
93,天河,棠下,棠德花园 ,棠德花园 电梯精装南向两房 视野开阔,2室2厅,64平米,251,单价39219元/平米,南,其他,有电梯,高楼层(共29层),1997年建塔楼,30人关注,共4次带看,2个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003798101.html
94,天河,华景新城,华景新城信华花园 ,信华花园 安静三房 户型方正,3室2厅,90.93平米,530,单价58287元/平米,东北,其他,有电梯,低楼层(共28层),2012年建塔楼,25人关注,共3次带看,3个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003584576.html
95,天河,棠下,棠德花园 ,棠德花园 飞机户型 安静东向,2室1厅,55平米,202,单价36728元/平米,东南,简装,无电梯,中楼层(共10层),1997年建塔楼,41人关注,共8次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004012800.html
96,天河,华景新城,华景新城逸馨居 ,华景新城 六期 东向三房 安静舒适小区,3室2厅,93平米,480,单价51613元/平米,东,其他,有电梯,高楼层(共31层),2000年建塔楼,63人关注,共3次带看,5个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003330790.html
97,天河,粤垦,金燕花园 ,金燕花园 实用二房,2室2厅,71.8平米,262,单价36491元/平米,南,其他,无电梯,中楼层(共9层),1995年建塔楼,105人关注,共4次带看,8个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003078231.html
98,天河,天河公园,东方新世界 ,东方新世界 舒适两房 通透明亮,2室1厅,70.6平米,515,单价72947元/平米,北,其他,有电梯,高楼层(共23层),2011年建塔楼,27人关注,共4次带看,10个月以前发布,https://gz.lianjia.com/ershoufang/GZ0002939682.html
99,天河,棠下,骏景花园 ,骏景花园 南苑南向 户型方正 看房方便,3室2厅,92.84平米,540,单价58165元/平米,南,简装,有电梯,低楼层(共13层),2000年建塔楼,51人关注,共0次带看,9个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003009112.html
100,天河,粤垦,金燕花园 ,金燕花园东南向温馨两房 实用舒适,2室1厅,64.19平米,275,单价42842元/平米,东南,其他,无电梯,低楼层(共9层),1999年建塔楼,4人关注,共8次带看,1个月以前发布,https://gz.lianjia.com/ershoufang/GZ0004047369.html
101,天河,天河北,天誉花园 ,天誉花园 高层三房 厅出阳台 安静望花园,3室2厅,139平米,850,单价61152元/平米,北,简装,有电梯,高楼层(共31层),1998年建塔楼,15人关注,共15次带看,3个月以前发布,https://gz.lianjia.com/ershoufang/GZ0003742673.html
